compound_id,base_rdkit_smiles,relation_cdk1,avg_pIC50_cdk1,relation_cdk2,avg_pIC50_cdk2,relation_cdk4,avg_pIC50_cdk4,relation_cdk5,avg_pIC50_cdk5,relation_cdk6,avg_pIC50_cdk6,relation_cdk7,avg_pIC50_cdk7,relation_cdk8,avg_pIC50_cdk8,relation_cdk9,avg_pIC50_cdk9,relation_cdk12,avg_pIC50_cdk12,relation_cdk13,avg_pIC50_cdk13
CHEMBL103382,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1,,,,7.7594507517174,,,,,,,,,,,,,,,,
CHEMBL103567,Cc1nc2c(Nc3cccc(Cl)c3)nc(NC3CCC(N)CC3)nc2n1C(C)C,,4.853871964321762,,,,,,,,,,,,,,,,,,
CHEMBL103633,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1,,,,5.154901959985743,,6.0,,,,,,,,,,,,,,
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,<,5.100000128334196,<,5.0,<,5.0,,5.87194383423083,,,,5.101981905233537,,6.712114886750744,<,5.0,,,,5.958607314841775
CHEMBL104467,Nc1cc(OCC2CCCCC2)nc(Nc2ccc(S(N)(=O)=O)cc2)n1,,5.275724130399211,,5.537602002101044,,,,,,,,,,,,,,,,
CHEMBL105213,O=C(Nc1[nH]nc2cc(-c3cccc(F)c3F)ccc12)C1CC1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,<,5.0,,,,,,,,,,,,,,,,,,
CHEMBL105442,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,,,<,5.0,<,5.0,<,5.0,,,<,5.0,<,5.0,<,5.0,,,<,5.0
CHEMBL106060,O=C(Nc1[nH]nc2cc(-c3ccc(O)nc3)ccc12)C1CC1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL107530,Nc1nc(Nc2cccc(Br)c2)nc(OCC2CCCCC2)c1N=O,,6.096910013008056,,6.301029995663981,,,,,,,,,,,,,,,,
CHEMBL1076581,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(Cl)cc1Cl,,,,6.490797477668897,,,,,,,,,,,,,,,,
CHEMBL1076721,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccnc2)cc1,,,,7.207608310501746,,,,,,,,,,,,,,,,
CHEMBL1077347,N#Cc1c(N)cc2[nH]nc(N)c2c1-c1ccccc1,,,,,,,,4.958607314841775,,,,,,,,,,,,
CHEMBL1078178,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,<,4.522878745280337,,5.675100502947687,<,4.522878745280337,<,4.522878745280337,,5.4741780478433375,<,4.522878745280337,,,,6.130181792020672,<,4.522878745280337,<,4.522878745280337
CHEMBL1079175,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,<,4.522878745280337,<,4.522878745280337,<,4.522878745280337,<,4.522878745280337,<,4.522878745280337,<,4.522878745280337,,,<,4.522878745280337,<,4.522878745280337,<,4.522878745280337
CHEMBL1079625,N[C@H](CNc1ncc(-c2ccc3cn[nH]c3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,<,6.0,,,,,,,,,,,,,,,,
CHEMBL1079627,Cn1nc(N)c2ccc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc21,,,<,5.698970004336019,,,,,,,,,,,,,,,,
CHEMBL1080561,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(C(F)(F)F)c4)s3)cc12,,,,7.455931955649724,,,,,,,,,,,,,,,,
CHEMBL1080569,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,7.284159418820802,,,,,,,,,,,,,,,,
CHEMBL1080583,CCC(CO)Nc1nc(Nc2cccc(-c3ccccn3)c2)c2ncn(C(C)C)c2n1,,6.657577319177793,,,,,,7.096910013008056,,,,,,,,,,,,
CHEMBL1080740,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4)s3)cc12,,,,7.142667503568732,,,,,,,,,,,,,,,,
CHEMBL1080891,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4Cl)s3)cc12,,,,7.244125144327507,,,,,,,,,,,,,,,,
CHEMBL1080892,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4C(F)(F)F)s3)cc12,,,,6.703334809738469,,,,,,,,,,,,,,,,
CHEMBL1080893,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(Cl)c4)s3)cc12,,,,7.769551078621726,,,,,,,,,,,,,,,,
CHEMBL1080901,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],<,5.0,,,,,,,,,,,,,,,,,,
CHEMBL1080902,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccc(OC)c2)cc1,,,,7.022276394711152,,,,,,,,,,,,,,,,
CHEMBL1080911,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc12,,,,7.769551078621726,,,,,,,,,,,,,,,,
CHEMBL1080912,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4Cl)s3)cc12,,,,7.154901959985743,,,,,,,,,,,,,,,,
CHEMBL1080913,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(F)c(F)c4)s3)cc12,,,,7.721246399047171,,,,,,,,,,,,,,,,
CHEMBL1081028,NC(=O)c1ccc(-c2cnc(NC[C@@H](N)Cc3ccc(C(F)(F)F)cc3)s2)cc1,,,<,5.0,,,,,,,,,,,,,,,,
CHEMBL1081029,N[C@H](CNc1ncc(-c2ccc3c(c2)CNC3=O)s1)Cc1ccc(C(F)(F)F)cc1,,,<,5.045757490560675,,,,,,,,,,,,,,,,
CHEMBL1081104,N[C@H](CNc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,,,,7.031517051446065,,,,,,,,,,,,,,,,
CHEMBL1081105,N[C@H](CCc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,,,,6.931814138253839,,,,,,,,,,,,,,,,
CHEMBL1081118,N[C@H](CCc1nc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,,,,5.334419008982047,,,,,,,,,,,,,,,,
CHEMBL1081119,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)o1)Cc1ccc(C(F)(F)F)cc1,,,,6.458420756053419,,,,,,,,,,,,,,,,
CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,,,,,,,,4.301029995663981,,,,,,,,,,,,
CHEMBL1081263,N[C@H](CNc1ncc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,7.906578314837765,,,,,,,,,,,,,,,,
CHEMBL1081295,Nc1cc2cc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)ccc2cn1,,,,7.812479279163536,,,,,,,,,,,,,,,,
CHEMBL1081296,N[C@H](CNc1ncc(-c2ccc3cncnc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,,,6.866461091629782,,,,,,,,,,,,,,,,
